sentence,audio_file
"Well, we have this school excursion planned, but when exactly is it","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Hard/Well%2C%20we%20have%20this%20school%20excursion%20planned%2C%20but%20when%20exactly%20is%20it.mp3"
"Is it this Tuesday or Wednesday","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Hard/Is%20it%20this%20Tuesday%20or%20Wednesday.mp3"
"Well it can’t be Tuesday, with the English tests taking place.","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Hard/Well%20it%20can%E2%80%99t%20be%20Tuesday%2C%20with%20the%20English%20tests%20taking%20place.mp3"
"Ah, right. Not Tuesday, but Wednesday","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Hard/Ah%2C%20right%20not%20Tuesday%2C%20but%20Wednesday.mp3"
"That’s right - all day Wednesday - taking a bus outside the city","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Hard/That%E2%80%99s%20right%20-%20all%20day%20Wednesday%20-%20taking%20a%20bus%20outside%20the%20city.mp3"
"And where are we going","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Hard/And%20where%20are%20we%20going.mp3"
"Ah, last month we went to Arthur Island","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Hard/Ah%2C%20last%20month%20we%20went%20to%20Arthur%20Island.mp3"
"so this time we’re going to the Animal Park","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Hard/so%20this%20time%20we%E2%80%99re%20going%20to%20the%20Animal%20Park.mp3"
"Arthur Island was okay, but it was too cold","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Hard/Arthur%20Island%20was%20okay%2C%20but%20it%20was%20too%20cold.mp3"
"Let’s hope the weather for this week’s excursion is better","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Hard/Let%E2%80%99s%20hope%20the%20weather%20for%20this%20week%E2%80%99s%20excursion%20is%20better.mp3"
